course_title,course_url
(ISC)² Systems Security Certified Practitioner (SSCP),https://www.coursera.org/specializations/sscp-training
.NET FullStack Developer,https://www.coursera.org/specializations/dot-net-fullstack
21st Century Energy Transition: how do we make it work?,https://www.coursera.org/learn/21st-century-energy-transition
A Crash Course in Causality:  Inferring Causal Effects from Observational Data,https://www.coursera.org/learn/crash-course-in-causality
A life with ADHD,https://www.coursera.org/learn/life-with-adhd
AI & Law,https://www.coursera.org/learn/ai-law
AI Applications in Marketing and Finance,https://www.coursera.org/learn/wharton-ai-applications-marketing-finance
AI Applications in People Management,https://www.coursera.org/learn/wharton-ai-applications-people-management
AI For Business,https://www.coursera.org/specializations/ai-for-business-wharton
AI For Everyone,https://www.coursera.org/learn/ai-for-everyone
AI For Everyone （すべての人のためのAIリテラシー講座）,https://www.coursera.org/learn/ai-for-everyone-ja
AI Foundations for Everyone,https://www.coursera.org/specializations/ai-foundations-for-everyone
AI Foundations: Prompt Engineering with ChatGPT,https://www.coursera.org/learn/ai-foundations-prompt-engineering-with-chatgpt
AI Fundamentals for Non-Data Scientists,https://www.coursera.org/learn/wharton-ai-fundamentals-non-data-scientists
AI Product Management,https://www.coursera.org/specializations/ai-product-management-duke
AI Strategy and Governance,https://www.coursera.org/learn/wharton-ai-strategy-governance
AI and Climate Change,https://www.coursera.org/learn/ai-and-climate-change
AI and Public Health,https://www.coursera.org/learn/ai-and-public-health
AI for Good,https://www.coursera.org/specializations/ai-for-good
AI for Medical Diagnosis,https://www.coursera.org/learn/ai-for-medical-diagnosis
AI for Medicine,https://www.coursera.org/specializations/ai-for-medicine
AI in Healthcare,https://www.coursera.org/specializations/ai-healthcare
"AI, Business & the Future of Work",https://www.coursera.org/learn/ai-business-future-of-work
"AI, Empathy & Ethics",https://www.coursera.org/learn/ai-empathy-ethics
AWS Cloud Practitioner Essentials,https://www.coursera.org/learn/aws-cloud-practitioner-essentials
AWS Cloud Solutions Architect,https://www.coursera.org/professional-certificates/aws-cloud-solutions-architect
AWS Cloud Technical Essentials,https://www.coursera.org/learn/aws-cloud-technical-essentials
AWS Cloud Technology Consultant,https://www.coursera.org/professional-certificates/aws-cloud-technology-consultant
AWS Fundamentals,https://www.coursera.org/specializations/aws-fundamentals
Abnormal Psychology,https://www.coursera.org/specializations/abnormal-psychology
Academic English: Writing,https://www.coursera.org/specializations/academic-english
Accelerated Computer Science Fundamentals,https://www.coursera.org/specializations/cs-fundamentals
Accounting: Principles of Financial Accounting,https://www.coursera.org/learn/financial-accounting
Achieving Personal and Professional Success,https://www.coursera.org/specializations/wharton-success
Addiction Treatment: Clinical Skills for Healthcare Providers,https://www.coursera.org/learn/addiction-treatment
Advanced Business Analytics,https://www.coursera.org/specializations/data-analytics-business
Advanced Data Science with IBM,https://www.coursera.org/specializations/advanced-data-science-ibm
Advanced Embedded Linux Development,https://www.coursera.org/specializations/advanced-embedded-linux-development
Advanced Learning Algorithms,https://www.coursera.org/learn/advanced-learning-algorithms
Advanced Machine Learning on Google Cloud,https://www.coursera.org/specializations/advanced-machine-learning-tensorflow-gcp
"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",https://www.coursera.org/learn/advanced-valuation-and-strategy
Agile Development,https://www.coursera.org/specializations/agile-development
Agile Leadership,https://www.coursera.org/specializations/agile-leadership-change-management
Agile Project Management,https://www.coursera.org/learn/agile-project-management
Agile with Atlassian Jira,https://www.coursera.org/learn/agile-atlassian-jira
Akamai Customer Consulting and Support,https://www.coursera.org/professional-certificates/akamai-customer-consulting-and-support
Akamai Network Engineering,https://www.coursera.org/professional-certificates/akamai-network-engineering
Algae Biotechnology,https://www.coursera.org/learn/algae-biotechnology
Algebra: Elementary to Advanced,https://www.coursera.org/specializations/algebra-elementary-to-advanced
Algorithms,https://www.coursera.org/specializations/algorithms
